PINCODE,BR_CITY,STATE,REGION,OFFICE_CODE,OFFICE_NAME,END_MILE_TAT,STANDARD
141102,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
141103,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
141107,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
141108,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
141113,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
141117,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
141121,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
141122,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
141125,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
141126,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
141127,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
141202,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
141203,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
141205,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
141411,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
141413,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
141414,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
141415,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
141417,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
141419,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
141422,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
142002,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,3,Y
142003,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,3,Y
142011,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,3,Y
142022,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
142023,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
142024,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
142025,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
142029,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
142030,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
142031,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
142032,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
142034,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
142035,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
142036,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
142039,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,3,Y
142040,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,3,Y
142041,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,3,Y
142045,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,3,Y
142046,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,3,Y
142048,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,3,Y
142054,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,3,Y
142056,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,3,Y
142057,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,3,Y
142058,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,3,Y
143009,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,3,Y
143022,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,3,Y
143108,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,3,Y
143109,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,3,Y
143113,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,3,Y
143117,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,3,Y
143118,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,3,Y
143119,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,3,Y
143202,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,3,Y
143204,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,3,Y
143205,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,3,Y
143302,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,3,Y
143304,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,3,Y
143305,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,3,Y
143402,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,3,Y
143406,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,3,Y
143407,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,3,Y
